Team,Name,Number
Team=Czech Republic,ČERV,12
Team=Czech Republic,ŠULC,15
Team=DR Congo,BAKAMBU,17
Team=DR Congo,BANZA,23
Team=DR Congo,BATUBINSIKA,5
Team=DR Congo,BONGONDA,10
Team=DR Congo,CIPENGA,9
Team=DR Congo,MESCHACK,13
Team=DR Congo,EPOLO,21
Team=DR Congo,FAYULU,16
Team=DR Congo,G. KALULU,24
Team=DR Congo,J. KAYEMBE,12
Team=DR Congo,KAKUTA,11
Team=DR Congo,KAPUADI,3
Team=DR Congo,KAYEMBE,25
Team=DR Congo,MASUAKU,26
Team=DR Congo,MAYELE,19
Team=DR Congo,MBEMBA,22
Team=DR Congo,MBUKU,7
Team=DR Congo,MOUTOUSSAMY,8
Team=DR Congo,MPASI,1
Team=DR Congo,MUKAU,6
Team=DR Congo,PICKEL,18
Team=DR Congo,SADIKI,14
Team=DR Congo,TSHIBOLA,15
Team=DR Congo,TUANZEBE,4
Team=DR Congo,WAN BISSAKA,2
Team=DR Congo,WISSA,20
Team=Ecuador,A. VALENCIA,8
Team=Ecuador,ALCIVAR,5
Team=Ecuador,ANGULO,20
Team=Ecuador,AREVALO,24
Team=Ecuador,CASTILLO,18
Team=Ecuador,E. VALENCIA,13
Team=Ecuador,ESTUPIÑÁN,7
Team=Ecuador,FRANCO,21
Team=Ecuador,GALINDEZ,1
Team=Ecuador,HINCAPIE,3
Team=Ecuador,J. CAICEDO,16
Team=Ecuador,M. CAICEDO,23
Team=Ecuador,MEDINA,26
Team=Ecuador,MINDA,14
Team=Ecuador,ORDÓÑEZ,4
Team=Ecuador,PACHO,6
Team=Ecuador,PAEZ,10
Team=Ecuador,PLATA,19
Team=Ecuador,POROZO,25
Team=Ecuador,PRECIADO,17
Team=Ecuador,RAMÍREZ,12
Team=Ecuador,RODRIGUEZ,11
Team=Ecuador,TORRES,2
Team=Ecuador,VALLE,22
Team=Ecuador,VITE,15
Team=Ecuador,YEBOAH ZAMORA,9
Team=Egypt,A. FATOUH,13
Team=Egypt,ABDELKARIM,9
Team=Egypt,DONGA,18
Team=Egypt,E. ASHOUR,8
Team=Egypt,H. FATHY,14
Team=Egypt,H. HASSAN,12
Team=Egypt,HOSSAM,4
Team=Egypt,I. ADEL,20
Team=Egypt,K. HAFEZ,15
Team=Egypt,M. ABDELMONIEM,6
Team=Egypt,M. ALAA,26
Team=Egypt,M. ATTIA,19
Team=Egypt,M. ELSHENAWY,1
Team=Egypt,M. HANY,3
Team=Egypt,M. LASHIN,17
Team=Egypt,M. SABER,21
Team=Egypt,M. SALAH,10
Team=Egypt,M. SOLIMAN,16
Team=Egypt,M. TREZEGUET,7
Team=Egypt,MARMOUSH,22
Team=Egypt,R. RABIAA,5
Team=Egypt,SHOUBIR,23
Team=Egypt,T. ALAA,24
Team=Egypt,YASSER,2
Team=Egypt,ZICO,11
Team=Egypt,ZIZO,25
Team=England,ANDERSON,8
Team=England,BELLINGHAM,10
Team=England,BURN,15
Team=England,D. HENDERSON,13
Team=England,EZE,21
Team=England,GORDON,18
Team=England,GUEHI,6
Team=England,HENDERSON,14
Team=England,JAMES,24
